#{"t_start": 1774783934.0679562, "env_id": "None"}
r,l,t
9.821253,11,30.06193
4.011987,11,30.075934
-6.112745,11,30.088946
3.921994,10,30.100054
10.602414,12,30.123056
3.89416,11,30.145665
9.789652,11,30.188954
2.738581,10,33.219404
10.581651,12,33.257924
8.761294,12,33.286814
2.629618,15,33.314407
3.986057,11,33.3331
3.829977,12,33.356248
3.859835,10,33.376292
4.02605,12,33.41192
9.89175,11,33.456344
9.762052,11,33.488154
1.048098,10,33.512246
2.903273,9,33.533942
2.086204,13,33.562341
-3.196645,12,33.59846
4.9249,12,33.63583
2.085041,11,33.665742
10.468443,12,33.711901
3.822075,10,33.745381
1.663838,11,33.79464
3.865435,12,33.833639
9.871956,11,33.887822
-1.981997,14,33.929723
3.893355,10,33.956481
2.877419,10,33.985707
3.443558,10,34.039978
1.788275,11,34.084636
-3.804585,11,34.123349
0.117585,11,34.170753
10.477116,12,34.219207
8.687607,13,34.278756
3.822924,10,34.341244
3.967502,10,34.38282
9.296174,12,34.478724
9.311998,11,34.540027
0.991754,10,34.57947
-0.818849,10,34.61319
-5.482641,13,34.664383
2.23176,10,34.690312
3.393152,10,34.726131
4.946989,12,34.758124
10.415288,13,34.792473
1.774884,11,34.824922
8.919841,11,34.855611
-8.7238,13,34.881964
3.932842,11,34.901457
3.325173,10,34.918757
-4.296551,10,34.939309
2.993631,10,34.956071
4.837755,12,34.985314
2.693614,10,35.001774
3.46785,10,35.01655
4.411695,12,35.034912
4.835051,12,35.055258
3.295939,10,35.069853
3.912049,10,35.08871
1.979328,11,35.114409
9.878952,11,35.142834
-0.211317,10,35.160412
3.863601,10,35.193037
3.840284,12,35.213479
2.407647,11,35.230483
2.747327,10,35.254211
9.415422,11,35.279504
2.024263,11,35.30506
3.849864,10,35.321078
9.286826,11,35.343656
-0.308538,13,35.37476
2.379805,11,35.399765
3.919171,10,35.421351
-4.283261,10,35.450372
3.835044,12,35.47164
9.307306,11,35.490848
-4.163508,10,35.510324
8.677153,12,35.534923
3.303451,10,35.554273
0.3915,13,35.579609
-6.697342,10,35.598756
1.477244,9,35.619281
4.352691,12,35.644424
3.015958,11,35.668641
9.296917,11,35.693975
2.337668,9,35.712317
3.760919,10,35.729432
-4.357107,10,35.745089
5.007852,13,35.770334
3.871098,11,35.787175
7.624325,13,35.80769
9.940602,13,35.830339
-4.377418,10,35.842561
9.448461,11,35.858043
3.751336,10,35.873816
1.880971,11,35.890018
2.969227,9,35.899668
8.81595,11,37.204162
3.853273,10,37.22494
3.456633,10,37.254188
4.41314,12,37.286029
3.922175,10,37.314913
3.955578,10,37.337971
9.515691,11,37.370129
3.281735,10,37.387168
1.766992,11,37.406349
3.834427,10,37.421307
1.889331,12,37.441697
2.859067,11,37.459844
3.8534,10,37.473234
4.335498,12,37.488023
3.940289,11,37.50161
3.005441,9,37.518078
9.262711,11,37.530294
2.293736,9,37.549152
2.449928,11,37.561561
3.955837,11,37.573243
9.838234,11,37.589495
-6.228248,11,37.612124
3.86164,10,37.630913
9.832928,11,37.651242
1.711138,12,37.675815
3.513942,10,37.697495
9.801639,11,37.714417
9.860596,11,37.728419
10.630269,12,37.749111
3.74221,10,37.768745
3.33524,12,37.793599
3.878493,11,37.816887
3.952372,10,37.828832
3.971376,10,37.845915
2.964379,9,37.865162
8.802205,11,37.889554
3.316498,10,37.910018
-4.095498,11,37.936018
3.994026,10,37.962282
3.981644,10,37.986024
-7.289166,10,38.009597
1.046714,11,38.028679
2.178482,10,38.047408
3.459629,10,38.063062
3.375673,10,38.082645
3.838011,10,38.098609
7.835754,12,38.12244
1.582885,10,38.143354
3.832405,10,38.167656
-3.284416,12,38.19015
-4.232133,11,38.203151
1.400134,12,38.223321
-4.156949,10,38.247535
9.170555,12,38.272896
9.884689,11,38.291317
3.923042,11,38.313082
3.935533,10,38.329759
9.838809,11,38.34662
5.004782,12,38.372849
-4.652627,10,38.392273
3.559873,10,38.418958
