#{"t_start": 1774803535.6618693, "env_id": "None"}
r,l,t
-2.011359,8,12.962826
17.492179,8,12.962826
16.886421,10,12.98262
4.050244,11,13.001719
-0.337405,10,13.019381
0.371869,7,13.030903
0.734463,8,13.04275
-4.498391,9,13.055616
-1.63478,9,13.065185
18.091127,9,13.077327
1.584469,8,13.085415
2.386331,10,13.089678
4.427711,12,13.111365
-0.089936,8,13.120106
-1.326749,8,13.130478
29.656925,10,13.152435
-7.784502,10,13.163605
1.65892,11,13.176621
1.777553,9,13.185432
8.301791,11,13.197392
0.106784,10,13.211074
19.154518,10,13.230751
1.188565,11,13.239068
-4.417473,10,13.259106
-3.470384,8,13.267734
-2.032769,10,13.28099
17.696623,11,13.298776
2.07573,12,13.314652
-7.11535,8,13.32354
1.399896,8,13.331037
-3.365181,8,13.341089
1.481969,9,13.354901
15.597783,10,13.366549
15.390861,7,13.376573
7.257832,12,13.386598
5.066851,9,13.400031
0.157949,7,13.407052
-1.366723,9,13.429754
9.249386,12,13.447977
-3.920221,9,13.461253
10.922746,11,13.47382
1.89331,9,13.488033
-8.025353,11,13.504293
-0.090754,9,13.516203
15.94064,10,13.529483
7.067581,10,13.541264
-5.559737,10,13.552952
-5.44033,10,13.564946
-2.403349,9,13.573131
0.703937,9,13.584257
5.84916,12,13.6018
-9.1897,11,13.624038
18.323985,10,13.634936
1.194561,10,13.652186
-6.350703,8,13.66082
-3.999554,9,13.675088
2.196655,7,13.684606
2.504005,10,13.693933
7.360936,10,13.703707
-1.339573,9,13.715128
-8.354066,10,13.72854
-5.026655,8,13.736725
-0.442293,11,13.750334
0.568228,10,13.767366
-0.544799,9,13.779732
-7.236889,7,13.789395
16.760989,10,13.802231
-0.442532,9,13.814909
-0.139526,8,13.825729
3.676332,9,13.836878
-6.553269,9,13.852059
-2.237569,8,13.859048
-1.743251,8,13.875152
-0.143271,11,13.884688
-0.717425,10,13.886266
33.828015,10,13.910896
-0.475152,11,13.926096
-8.16152,10,13.939632
3.623876,12,13.954585
-4.689856,9,13.967817
-6.466681,8,13.978883
6.49481,10,13.993424
3.317233,8,14.00305
0.768414,12,14.021172
7.728853,11,14.036736
-0.112738,11,14.04996
-5.323898,8,14.061312
-1.076726,8,14.073169
-4.773253,9,14.086959
4.334356,9,14.100088
16.930945,9,14.113642
14.706328,12,14.119246
-5.802449,9,14.134301
-3.275551,11,14.149971
-2.438501,8,14.164201
17.833673,10,14.180782
0.997419,10,14.193161
-4.296204,13,14.208966
10.744187,8,14.217005
6.378035,10,15.736805
-0.521033,10,15.765501
0.941303,11,15.786016
10.049302,9,15.793414
-10.137094,9,15.809021
-4.256697,8,15.815123
2.026104,10,15.828753
-5.216821,11,15.837346
12.595094,12,15.846191
14.357592,10,15.858095
1.689541,9,15.866154
1.917807,10,15.882661
35.241986,10,15.899964
1.802761,11,15.908891
-1.395183,9,15.922062
21.086635,13,15.942184
