deliveries_completed,fuel_used,steps_taken,reward
1,19.671970810095154,13,4.393905469918463
0,19.066366366101697,12,-4.437153338645969
1,19.285182205846795,12,-0.11741566965669925
0,18.131025026342282,10,-5.4436192046700285
1,17.75873316214723,11,1.3229515745448772
0,17.894724006833968,12,-3.4981346875925015
1,19.732813997042957,13,1.3878211512236867
0,18.26717273001458,12,-4.121165997537467
1,19.2264872280223,12,0.47424026575265366
0,18.764654868082562,12,-5.906982188844055
0,18.80746319903913,10,-5.689408606813018
0,19.93803000824518,10,-7.216678850106718
0,19.27463700870594,14,-7.621912425406604
1,18.737367270693692,11,3.3873658238586106
1,19.317910092496202,15,-0.2991155830678309
1,18.310724323327975,12,-2.9921058364043978
0,18.28794233499403,12,-6.123242958035412
0,19.623959027256493,11,-3.8068446272616594
1,19.364459528923124,10,1.5385886205358759
1,18.298891925411528,11,3.4312133583868274
0,18.546412878923057,10,-7.663303574801411
0,17.925373906353006,9,-5.1511996775444056
1,19.814574018622817,13,1.051218024319505
0,18.2441071186144,11,-5.16885943639745
0,19.188323122510102,11,-6.4993490142868104
0,19.774567319850988,15,-12.357973434020897
1,18.735868918745908,12,0.9375156590533891
0,19.41688162624367,12,-4.972204864660167
1,19.768381642643934,13,0.7219867264952065
0,19.721112049660416,11,-6.31655992950205
0,18.569120507870927,10,-4.251360775323103
0,18.84413488422595,11,-5.464930190458395
2,19.22364708895718,11,9.838737842032263
1,18.266497872437135,14,0.5844527636842649
1,19.96186288762449,13,0.8649162621655293
1,18.900046130062396,12,0.9210979379217399
1,19.79541307430573,14,1.8260099680334179
1,19.534405605232536,13,-3.6978892850592633
1,19.93843293364125,15,-0.19501840260452497
1,18.621835019486234,12,-4.156632226484634
0,19.319270472823845,14,-6.231927047282385
1,18.631918898247584,13,-2.1076406143607676
1,19.69292184966516,12,0.34181036596146086
